uniqueCell_ID,POINT_X,POINT_Y,country,countryGID,GID_1,province,lcc2000,lcc2005,lcc2008,lcc2011,lcc2014,suitability,treecover,acc_min,urban
29,101.025839123,22.585076619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.00134182604961097,13.358172416687,25.1131248474121,0
30,101.028019123,22.585076619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00134722737129778,10.3602819442749,30.1503067016602,0
31,101.030199123,22.585076619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00132658693473786,26.8138656616211,33.9170455932617,0
32,101.032379123,22.585076619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00127700204029679,46.7434730529785,36.5351104736328,0
33,101.034559123,22.585076619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00122741714585572,77.7846069335938,39.1531753540039,0
34,101.036739123,22.585076619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00117783225141466,76.951904296875,41.771240234375,0
35,101.038919123,22.585076619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00113549595698714,83.2863845825195,48.6903533935547,0
36,101.442219123,22.585076619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00184204080142081,52.7844505310059,44.0523490905762,0
37,100.810019123,22.582986619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000848805473651737,28.6986103057861,250.047576904297,0
38,100.934279123,22.582986619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000840177992358804,69.2953720092774,299.191802978516,0
39,100.936459123,22.582986619,China,CHN,CHN.30_1,"",3,3,3,3,3,0.000823021167889237,55.6588706970215,291.644805908203,0
40,100.938639123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000813159975223243,50.2023620605469,282.621795654297,0
41,100.940819123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000809965014923364,49.6903343200684,272.503753662109,0
42,100.942999123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000806770112831146,67.0058517456055,262.385681152344,0
43,100.945179123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000803575210738927,69.9867401123047,252.267639160156,0
44,100.947359123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00081641209544614,67.619743347168,243.946319580078,0
45,100.949539123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.000836123013868928,48.0539741516113,236.219268798828,0
46,100.977879123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00122063129674643,71.910774230957,136.010391235352,0
47,100.980059123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00124549062456936,70.7737731933594,128.193496704102,0
48,100.982239123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00117200519889593,63.0765724182129,123.363746643066,0
49,100.984419123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00109851977322251,77.3663482666016,118.533996582031,0
50,100.986599123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00102503434754908,79.1167602539063,113.704238891602,0
51,100.988779123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00100334885064512,72.3970336914063,107.942565917969,0
52,100.990959123,22.582986619,China,CHN,CHN.30_1,"",2,2,2,2,2,0.00101814558729529,75.8517074584961,101.65283203125,0
53,101.019299123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00132741406559944,26.1047248840332,17.1866264343262,0
54,101.021479123,22.582986619,China,CHN,CHN.30_1,"",10,10,10,10,10,0.00133370724506676,32.3820495605469,14.6734533309937,0
55,101.023659123,22.582986619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.00137705821543932,6.24093961715698,17.9391841888428,0
56,101.025839123,22.582986619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.00142040906939656,0.0787332877516747,21.2049140930176,0
57,101.028019123,22.582986619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.00146375992335379,14.3360137939453,24.4706439971924,0
58,101.030199123,22.582986619,China,CHN,CHN.30_1,"",17,17,17,17,17,0.0014573362423107,16.8700332641602,27.6374320983887,0
59,101.032379123,22.582986619,China,CHN,CHN.30_1,"",14,14,14,14,14,0.00139558967202902,37.0953254699707,30.7147636413574,0
