"countryGID","Year","DeflatorRate","meanYield","meanSuit","PriceDfl","USD_day_wageDfl","FertPriceDfl","DieselPriceDfl","GasPriceDfl","TimbPriceHaDfl"
"CHN",2000,81.2372,38.6200511111111,0.00170576017751019,917.7366484,1.684656435,0.0579238769644011,0.3655674,0.3249488,11879.4318091429
"CHN",2001,83.019,38.6200511111111,0.00170576017751019,889.13349,1.8177701875,0.0737720491282513,0.3735855,0.332076,13248.6873103448
"CHN",2002,84.3322,38.6200511111111,0.00170576017751019,831.0094988,1.97407624833333,86.4252861046992,0.31202914,0.35419524,12125.283716
"CHN",2003,85.8983,38.6200511111111,0.00170576017751019,832.4404253,2.01073603916666,34.2758595303839,0.31782371,0.36077286,11423.614917
"CHN",2004,88.2109,38.6200511111111,0.00170576017751019,966.791464,2.42028656875,44.8910025884003,0.37930687,0.42341232,11731.167591
"CHN",2005,90.9586,38.6200511111111,0.00170576017751019,1021.1012436,2.68252071166667,60.6424283434027,0.39112198,0.43660128,9459.6944
"CHN",2006,93.7112,38.6200511111111,0.00170576017751019,1094.07826,3.13424917666666,47.7431499080632,0.57163832,0.64660728,9745.9648
"CHN",2007,96.2285,38.6200511111111,0.00170576017751019,1395.4094785,3.84753619166666,24.0462716906522,0.58699385,0.66397665,10007.764
"CHN",2008,98.1003,38.6200511111111,0.00170576017751019,2397.1789308,4.70595314125,29.0039475950057,0.99081303,0.97119297,27068.7556760125
"CHN",2009,98.8482,38.6200511111111,0.00170576017751019,2459.837457,4.8233802925,24.5687888709441,0.99836682,0.97859718,20354.6966597938
"CHN",2010,100,38.6200511111111,0.00170576017751019,2732.5,5.90833333333333,19.818801386439,1.04,1.11,15674.6411483254
"CHN",2011,102.089,38.6200511111111,0.00170576017751019,5319.551523,7.63668257083334,42.7118732666104,1.0617256,1.1331879,36667.8428865979
"CHN",2012,104.047,38.6200511111111,0.00170576017751019,4829.549599,8.65367569583333,262.564997241913,1.3318016,1.4254439,36368.9596680498
"CHN",2013,105.873,38.6200511111111,0.00170576017751019,4271.97555,9.96794295,37.6506025379846,1.3551744,1.4504601,26056.0726717557
"CHN",2014,107.876,38.6200511111111,0.00170576017751019,4352.7966,10.1565254,29.1770794984969,1.1758484,1.2621492,31780.351634981
"CHN",2015,109.029,38.6200511111111,0.00170576017751019,4399.32015,10.26508035,20.0604786191896,1.1884161,1.2756393,19726.781260274
"CHN",2016,110.222,38.6200511111111,0.00170576017751019,4447.4577,10.3774013,19.3315596569109,1.2014198,1.2895974,16678.79304
"CHN",2017,112.317,38.6200511111111,0.00170576017751019,4531.99095,10.57464555,19.6989964434075,1.2242553,1.3141089,16995.80844
"CHN",2018,112.317,38.6200511111111,0.00170576017751019,4531.99095,14.99619145,19.6989964434075,1.2242553,1.3141089,16995.80844
"KHM",2000,81.2372,2.19317555555556,0.0582369573725285,656.802762,1.5231975,12.0690512295082,0.35744368,0.49554692,7148.8736
"KHM",2001,83.019,2.19317555555556,0.0582369573725285,572.00091,1.55660625,24.8801818647541,0.3652836,0.5064159,7305.672
"KHM",2002,84.3322,2.19317555555556,0.0582369573725285,678.986652933333,1.58122875,45.2551124487705,0.37106168,0.53129286,7421.2336
"KHM",2003,85.8983,2.19317555555556,0.0582369573725285,824.251454033333,1.610593125,68.568084778053,0.37795252,0.54115929,7559.0504
"KHM",2004,88.2109,2.19317555555556,0.0582369573725285,999.664726066667,1.653954375,0.826940270523637,0.53808649,0.69686611,6720.83047619048
"KHM",2005,90.9586,2.19317555555556,0.0582369573725285,1184.31129153333,1.70547375,0.57605193160228,0.55484746,0.71857294,4884.39364921031
"KHM",2006,93.7112,2.19317555555556,0.0582369573725285,1371.33846373333,1.95231666666666,0.61536435272045,0.73094736,0.94648312,11307.6697387173
"KHM",2007,96.2285,2.19317555555556,0.0582369573725285,1674.63250933333,2.00476041666666,0.778457760314342,0.7505823,0.97190785,49299.9150160549
"KHM",2008,98.1003,2.19317555555556,0.0582369573725285,2093.1661011,2.04375625,303.939121573863,0.87309267,0.92214282,52009.9218668707
"KHM",2009,98.8482,2.19317555555556,0.0582369573725285,1940.5219636,2.0593375,268.98957079646,0.87974898,0.92917308,43518.3076176251
"KHM",2010,100,2.19317555555556,0.0582369573725285,2603.26666666667,2.54166666666667,287.936447531158,0.98,1.15,43711.0481586402
"KHM",2011,102.089,2.19317555555556,0.0582369573725285,4287.77202966667,2.59476208333334,404.741851263927,1.0004722,1.1740235,78309.9982655986
"KHM",2012,104.047,2.19317555555556,0.0582369573725285,3378.47545466667,2.64452791666667,590.701633526933,1.3213969,1.4046345,51400.2511573925
"KHM",2013,105.873,2.19317555555556,0.0582369573725285,3004.887486,3.5291,884.575936006788,1.3445871,1.4292855,104968.746619217
"KHM",2014,107.876,2.19317555555556,0.0582369573725285,2633.75658133333,3.59586666666666,1127.6907427931,1.3376624,1.4455384,99547.9728
"KHM",2015,109.029,2.19317555555556,0.0582369573725285,2390.787912,3.6343,1139.74372423884,1.3519596,1.4609886,31106.8139345777
"KHM",2016,110.222,2.19317555555556,0.0582369573725285,2349.822818,3.67406666666666,1152.21484901314,1.3667528,1.4769748,33418.847351838
"KHM",2017,112.317,2.19317555555556,0.0582369573725285,2394.486123,3.7439,1174.11510584646,1.3927308,1.5050478,34054.0425506377
"KHM",2018,112.317,2.19317555555556,0.0582369573725285,2394.486123,3.7439,1174.11510584646,1.3927308,1.5050478,34054.0425506377
"LAO",2000,81.2372,50.6468342222222,0.00647760374889348,656.802762,0.401785651666666,103.061098964486,0.25995904,0.33307252,6036.14827167164
"LAO",2001,83.019,50.6468342222222,0.00647760374889348,572.00091,0.3614785625,92.891027502938,0.2656608,0.3403779,8292.91885363636
"LAO",2002,84.3322,50.6468342222222,0.00647760374889348,678.986652933333,0.327138659166667,172.255841667314,0.2529966,0.30359592,14575.134126
"LAO",2003,85.8983,50.6468342222222,0.00647760374889348,824.251454033333,0.317107890833334,176.798385429626,0.2576949,0.30923388,14499.2989910556
"LAO",2004,88.2109,50.6468342222222,0.00647760374889348,999.664726066667,0.324910148333333,267.951804188126,0.42341232,0.47633886,5477.36040265497
"LAO",2005,90.9586,50.6468342222222,0.00647760374889348,1184.31129153333,0.332756878333333,302.610890647987,0.43660128,0.49117644,6888.36889241481
"LAO",2006,93.7112,50.6468342222222,0.00647760374889348,1371.33846373333,0.768822303333334,275.129053817388,0.68409176,0.80591632,5951.2498985641
"LAO",2007,96.2285,50.6468342222222,0.00647760374889348,1674.63250933333,0.835183189583334,431.960248726831,0.70246805,0.8275651,11588.2387869767
"LAO",2008,98.1003,50.6468342222222,0.00647760374889348,2093.1661011,1.355419145,832.482053637595,0.74556228,0.90252276,9883.73007992727
"LAO",2009,98.8482,50.6468342222222,0.00647760374889348,1940.5219636,1.682890605,462.517435362094,0.75124632,0.90940344,11853.2690448189
"LAO",2010,100,50.6468342222222,0.00647760374889348,2603.26666666667,1.75583333333333,499.113702971329,0.97,1.26,15434.1642512077
"LAO",2011,102.089,50.6468342222222,0.00647760374889348,4287.77202966667,1.84355719166666,797.350798646429,0.9902633,1.2863214,19038.261110303
"LAO",2012,104.047,50.6468342222222,0.00647760374889348,3378.47545466667,3.38889749583333,774.309844923877,1.2277546,1.3838251,23675.0787313437
"LAO",2013,105.873,50.6468342222222,0.00647760374889348,3004.887486,3.51321905,467.797051639188,1.2493014,1.4081109,45598.7673267327
"LAO",2014,107.876,50.6468342222222,0.00647760374889348,2633.75658133333,3.57968526666666,425.472289451371,1.1650608,1.510264,50875.7495856949
"LAO",2015,109.029,50.6468342222222,0.00647760374889348,2390.787912,3.61794565,396.271552660398,1.1775132,1.526406,41553.2204066129
"LAO",2016,110.222,50.6468342222222,0.00647760374889348,2349.822818,3.65753336666666,392.099765539098,1.1903976,1.543108,42007.8975287097
"LAO",2017,112.317,50.6468342222222,0.00647760374889348,2394.486123,3.72705245,399.552442942923,1.2130236,1.572438,42806.3456182258
"LAO",2018,112.317,50.6468342222222,0.00647760374889348,2394.486123,3.72705245,399.552442942923,1.2130236,1.572438,42806.3456182258
"MMR",2000,81.2372,8.11332222222222,0.000439744915705072,656.802762,2.51548308976407,513.026717120753,0.09748464,0.26808276,4968.00252328104
"MMR",2001,83.019,8.11332222222222,0.000439744915705072,572.00091,2.57065593877095,524.279086781029,0.0996228,0.2739627,5272.75244744858
"MMR",2002,84.3322,8.11332222222222,0.000439744915705072,678.986652933333,2.6113187434156,532.572167843929,0.23613016,0.30359592,5568.91644603196
"MMR",2003,85.8983,8.11332222222222,0.000439744915705072,824.251454033333,2.65981251310337,166.094964597441,0.24051524,0.30923388,6314.62464061098
"MMR",2004,88.2109,8.11332222222222,0.000439744915705072,999.664726066667,2.73142140894651,106.828333064568,0.0882109,0.10585308,4940.28950266823
"MMR",2005,90.9586,8.11332222222222,0.000439744915705072,1184.31129153333,2.81650303270687,883.013296277146,0.0909586,0.10915032,5838.93593195096
"MMR",2006,93.7112,8.11332222222222,0.000439744915705072,1371.33846373333,2.90173638335023,499.305506917347,0.702834,0.61849392,9077.43367818029
"MMR",2007,96.2285,8.11332222222222,0.000439744915705072,1674.63250933333,2.97968374714247,241.851355376326,0.72171375,0.6351081,11485.6433054266
"MMR",2008,98.1003,8.11332222222222,0.000439744915705072,2093.1661011,3.03764341644939,549.309016552341,0.51012156,0.42183129,15993.4708299768
"MMR",2009,98.8482,8.11332222222222,0.000439744915705072,1940.5219636,3.06080189314276,289.935159350102,0.51401064,0.42504726,13288.6604338678
"MMR",2010,100,8.11332222222222,0.000439744915705072,2603.26666666667,3.09646700004933,64.0828199863108,0.8,0.8,14979.8197088466
"MMR",2011,102.089,8.11332222222222,0.000439744915705072,4287.77202966667,3.16115219568036,57.6468180333224,0.816712,0.816712,14688.56532
"MMR",2012,104.047,8.11332222222222,0.000439744915705072,3378.47545466667,3.22178101954133,65.6391737323825,0.832376,1.0820888,17339.43255
"MMR",2013,105.873,8.11332222222222,0.000439744915705072,3004.887486,3.27832250696223,22.0326822748682,0.846984,1.1010792,18691.87815
"MMR",2014,107.876,8.11332222222222,0.000439744915705072,2633.75658133333,3.34034474097322,15.3645339862232,1.0032468,1.2297864,20505.07008
"MMR",2015,109.029,8.11332222222222,0.000439744915705072,2390.787912,3.37604700548378,15.8761267248301,1.0139697,1.2429306,17370.6779791989
"MMR",2016,110.222,8.11332222222222,0.000439744915705072,2349.822818,3.21328848544247,24.1365289818054,1.0250646,1.2565308,44811.85632
"MMR",2017,112.317,8.11332222222222,0.000439744915705072,2394.486123,2.9723130959458,24.5952942756386,1.0445481,1.2804138,45663.59952
"MMR",2018,112.317,8.11332222222222,0.000439744915705072,2394.486123,3.96308412792774,24.5952942756386,1.0445481,1.2804138,45663.59952
"THA",2000,81.2372,171.090551111111,0.0279307444814286,436.0000524,3.55446598833334,175.722353966972,0.2843302,0.31682508,1035.7743
"THA",2001,83.019,171.090551111111,0.0279307444814286,383.381742,3.3397851875,180.436473305372,0.2905665,0.3237741,1270.1907
"THA",2002,84.3322,171.090551111111,0.0279307444814286,543.6053612,3.50892228833333,202.070145299395,0.26986304,0.30359592,3295.09339406902
"THA",2003,85.8983,171.090551111111,0.0279307444814286,781.8463266,3.79097830666666,214.694594058277,0.27487456,0.30923388,6231.14559169473
